bcg_hr,rr_hr,bcg_timestamp,bcg_readable_time,rr_timestamp,rr_readable_time
50.381581197660275,95.47826086956522,1699091915.239,2023-11-04 11:58:35.239,1699125170.0,2023-11-04 21:12:50.000
73.89630635818394,95.41666666666667,1699091915.259,2023-11-04 11:58:35.259,1699125230.0,2023-11-04 21:13:50.000
50.88948326268095,92.4125,1699091915.279,2023-11-04 11:58:35.279,1699125290.0,2023-11-04 21:14:50.000
78.36298336378819,88.5111111111111,1699091915.299,2023-11-04 11:58:35.299,1699125350.0,2023-11-04 21:15:50.000
52.425534848852315,90.9125,1699091915.319,2023-11-04 11:58:35.319,1699125410.0,2023-11-04 21:16:50.000
53.83809947813385,89.38636363636364,1699091915.3390002,2023-11-04 11:58:35.339,1699125470.0,2023-11-04 21:17:50.000
79.49808275585073,96.71428571428571,1699091915.3590002,2023-11-04 11:58:35.359,1699125530.0,2023-11-04 21:18:50.000
81.0588890177546,98.4235294117647,1699091915.3790002,2023-11-04 11:58:35.379,1699125590.0,2023-11-04 21:19:50.000
51.222010997583865,101.1046511627907,1699091915.3990002,2023-11-04 11:58:35.399,1699125650.0,2023-11-04 21:20:50.000
51.36862767274673,92.7948717948718,1699091915.4190001,2023-11-04 11:58:35.419,1699125710.0,2023-11-04 21:21:50.000
50.197228281328655,89.5813953488372,1699091915.4390001,2023-11-04 11:58:35.439,1699125770.0,2023-11-04 21:22:50.000
84.9594992635615,89.01298701298701,1699091915.459,2023-11-04 11:58:35.459,1699125830.0,2023-11-04 21:23:50.000
74.81835516327607,95.13157894736842,1699091915.479,2023-11-04 11:58:35.479,1699125890.0,2023-11-04 21:24:50.000
55.02777489003985,84.27058823529411,1699091915.4990003,2023-11-04 11:58:35.499,1699125950.0,2023-11-04 21:25:50.000
80.8848279533947,85.23456790123457,1699091915.5190003,2023-11-04 11:58:35.519,1699126010.0,2023-11-04 21:26:50.000
79.3321591017615,82.86842105263158,1699091915.5390003,2023-11-04 11:58:35.539,1699126070.0,2023-11-04 21:27:50.000
59.89762790666089,85.50588235294117,1699091915.5590003,2023-11-04 11:58:35.559,1699126130.0,2023-11-04 21:28:50.000
58.52264767487558,81.63888888888889,1699091915.5790002,2023-11-04 11:58:35.579,1699126190.0,2023-11-04 21:29:50.000
59.86903138152134,83.63095238095238,1699091915.5990002,2023-11-04 11:58:35.599,1699126250.0,2023-11-04 21:30:50.000
58.21619924617295,82.6951219512195,1699091915.6190002,2023-11-04 11:58:35.619,1699126310.0,2023-11-04 21:31:50.000
59.744115637515236,82.08219178082192,1699091915.6390002,2023-11-04 11:58:35.639,1699126370.0,2023-11-04 21:32:50.000
67.40613264296458,87.83333333333333,1699091915.6590004,2023-11-04 11:58:35.659,1699126430.0,2023-11-04 21:33:50.000
62.6652391344677,84.10958904109589,1699091915.6790004,2023-11-04 11:58:35.679,1699126490.0,2023-11-04 21:34:50.000
61.54686625792766,82.75,1699091915.6990004,2023-11-04 11:58:35.699,1699126550.0,2023-11-04 21:35:50.000
81.81774840424917,81.78313253012048,1699091915.7190003,2023-11-04 11:58:35.719,1699126610.0,2023-11-04 21:36:50.000
70.71519285043428,81.22857142857143,1699091915.7390003,2023-11-04 11:58:35.739,1699126670.0,2023-11-04 21:37:50.000
78.44605696624313,84.70114942528735,1699091915.7590003,2023-11-04 11:58:35.759,1699126730.0,2023-11-04 21:38:50.000
85.66137375521014,86.56,1699091915.7790003,2023-11-04 11:58:35.779,1699126790.0,2023-11-04 21:39:50.000
87.68761576726143,85.65517241379311,1699091915.7990003,2023-11-04 11:58:35.799,1699126850.0,2023-11-04 21:40:50.000
78.345391138316,83.4235294117647,1699091915.8190002,2023-11-04 11:58:35.819,1699126910.0,2023-11-04 21:41:50.000
80.85231648121804,84.78378378378379,1699091915.8390005,2023-11-04 11:58:35.839,1699126970.0,2023-11-04 21:42:50.000
