timestamp,readable_time,amplitude,is_movement
1699091915.239,2023-11-04 11:58:35.239,-90.03712421472557,False
1699091915.259,2023-11-04 11:58:35.259,-136.8978645527586,False
1699091915.279,2023-11-04 11:58:35.279,-111.04086786632891,False
1699091915.299,2023-11-04 11:58:35.299,-130.07349464795945,False
1699091915.319,2023-11-04 11:58:35.319,-113.85109057863974,False
1699091915.3390002,2023-11-04 11:58:35.339,-127.15670012117178,False
1699091915.3590002,2023-11-04 11:58:35.359,-104.93455645848356,False
1699091915.3790002,2023-11-04 11:58:35.379,-115.38188807346091,False
1699091915.3990002,2023-11-04 11:58:35.399,-99.46313727103913,False
1699091915.4190001,2023-11-04 11:58:35.419,-118.3932044693114,False
1699091915.4390001,2023-11-04 11:58:35.439,-109.82924685277203,False
1699091915.459,2023-11-04 11:58:35.459,-124.85579658652838,False
1699091915.479,2023-11-04 11:58:35.479,-114.68788621808392,False
1699091915.4990003,2023-11-04 11:58:35.499,-126.43027785353898,False
1699091915.5190003,2023-11-04 11:58:35.519,-111.06065006735314,False
1699091915.5390003,2023-11-04 11:58:35.539,-128.42448304764196,False
1699091915.5590003,2023-11-04 11:58:35.559,-118.01373809057321,False
1699091915.5790002,2023-11-04 11:58:35.579,-137.56845319718045,False
1699091915.5990002,2023-11-04 11:58:35.599,-127.22512066552133,False
1699091915.6190002,2023-11-04 11:58:35.619,-137.75284724241513,False
1699091915.6390002,2023-11-04 11:58:35.639,-123.84611657665782,False
1699091915.6590004,2023-11-04 11:58:35.659,-139.10261306420176,False
1699091915.6790004,2023-11-04 11:58:35.679,-133.61564620747683,False
1699091915.6990004,2023-11-04 11:58:35.699,-146.56290638570187,False
1699091915.7190003,2023-11-04 11:58:35.719,-131.00290544108577,False
1699091915.7390003,2023-11-04 11:58:35.739,-143.8184454770508,False
1699091915.7590003,2023-11-04 11:58:35.759,-134.8822362798336,False
1699091915.7790003,2023-11-04 11:58:35.779,-142.2255674142678,False
1699091915.7990003,2023-11-04 11:58:35.799,-126.98417269040026,False
1699091915.8190002,2023-11-04 11:58:35.819,-138.53651039935582,False
1699091915.8390005,2023-11-04 11:58:35.839,-132.48625336971978,False
1699091915.8590004,2023-11-04 11:58:35.859,-151.35366590593085,False
1699091915.8790004,2023-11-04 11:58:35.879,-141.3472321785993,False
1699091915.8990004,2023-11-04 11:58:35.899,-153.87758882934125,False
1699091915.9190004,2023-11-04 11:58:35.919,-142.01473517397,False
1699091915.9390004,2023-11-04 11:58:35.939,-153.78445452468804,False
1699091915.9590003,2023-11-04 11:58:35.959,-143.12718873183002,False
1699091915.9790003,2023-11-04 11:58:35.979,-153.07065414053935,False
1699091915.9990005,2023-11-04 11:58:35.999,-129.80475197829688,False
1699091916.0190005,2023-11-04 11:58:36.019,-140.72104825756045,False
1699091916.0390005,2023-11-04 11:58:36.039,-124.62405681612172,False
1699091916.0590005,2023-11-04 11:58:36.059,-137.29163557664924,False
1699091916.0790005,2023-11-04 11:58:36.079,-129.3084459190939,False
1699091916.0990005,2023-11-04 11:58:36.099,-144.70179241457308,False
1699091916.1190004,2023-11-04 11:58:36.119,-122.25706740155074,False
1699091916.1390004,2023-11-04 11:58:36.139,-131.07794963426394,False
1699091916.1590006,2023-11-04 11:58:36.159,-115.07894778852491,False
1699091916.1790006,2023-11-04 11:58:36.179,-128.39682372842407,False
1699091916.1990006,2023-11-04 11:58:36.199,-116.87032564561234,False
1699091916.2190006,2023-11-04 11:58:36.219,-131.7395484224447,False
1699091916.2390006,2023-11-04 11:58:36.239,-118.9128788451396,False
1699091916.2590005,2023-11-04 11:58:36.259,-128.21596175898893,False
1699091916.2790005,2023-11-04 11:58:36.279,-111.26664539123334,False
1699091916.2990005,2023-11-04 11:58:36.299,-123.70144665075772,False
1699091916.3190005,2023-11-04 11:58:36.319,-108.95497219657605,False
1699091916.3390007,2023-11-04 11:58:36.339,-119.57276804260081,False
1699091916.3590007,2023-11-04 11:58:36.359,-104.8670459993653,False
1699091916.3790007,2023-11-04 11:58:36.379,-121.5840896373808,False
1699091916.3990006,2023-11-04 11:58:36.399,-110.63693441123748,False
1699091916.4190006,2023-11-04 11:58:36.419,-124.28445894244375,False
1699091916.4390006,2023-11-04 11:58:36.439,-121.65973114718112,False
1699091916.4590006,2023-11-04 11:58:36.459,-135.95507143449927,False
1699091916.4790006,2023-11-04 11:58:36.479,-123.02485719570188,False
1699091916.4990008,2023-11-04 11:58:36.499,-137.4942229611205,False
1699091916.5190008,2023-11-04 11:58:36.519,-120.85460879167543,False
1699091916.5390007,2023-11-04 11:58:36.539,-127.92531058522925,False
1699091916.5590007,2023-11-04 11:58:36.559,-116.26684247729116,False
1699091916.5790007,2023-11-04 11:58:36.579,-130.5016354645012,False
1699091916.5990007,2023-11-04 11:58:36.599,-121.52071307263759,False
1699091916.6190007,2023-11-04 11:58:36.619,-133.77131117472018,False
1699091916.6390007,2023-11-04 11:58:36.639,-120.6815075061089,False
1699091916.6590009,2023-11-04 11:58:36.659,-135.09904740930835,False
1699091916.6790009,2023-11-04 11:58:36.679,-122.60801275886689,False
1699091916.6990008,2023-11-04 11:58:36.699,-136.83687119833567,False
1699091916.7190008,2023-11-04 11:58:36.719,-124.06913013998033,False
1699091916.7390008,2023-11-04 11:58:36.739,-139.9618399750122,False
1699091916.7590008,2023-11-04 11:58:36.759,-129.54394766762996,False
1699091916.7790008,2023-11-04 11:58:36.779,-142.03335870176218,False
1699091916.7990007,2023-11-04 11:58:36.799,-132.96017720714633,False
1699091916.8190007,2023-11-04 11:58:36.819,-144.65664690824826,False
1699091916.839001,2023-11-04 11:58:36.839,-131.07397699482377,False
1699091916.859001,2023-11-04 11:58:36.859,-140.25330274969454,False
1699091916.879001,2023-11-04 11:58:36.879,-126.69019952040375,False
1699091916.899001,2023-11-04 11:58:36.899,-138.90233499589135,False
1699091916.9190009,2023-11-04 11:58:36.919,-122.9706974361102,False
1699091916.9390008,2023-11-04 11:58:36.939,-138.42858879904458,False
1699091916.9590008,2023-11-04 11:58:36.959,-126.9765652471424,False
1699091916.9790008,2023-11-04 11:58:36.979,-138.29964142702252,False
1699091916.999001,2023-11-04 11:58:36.999,-128.0202082435144,False
1699091917.019001,2023-11-04 11:58:37.019,-142.11155300949613,False
1699091917.039001,2023-11-04 11:58:37.039,-125.44480449469563,False
1699091917.059001,2023-11-04 11:58:37.059,-138.68876647324478,False
1699091917.079001,2023-11-04 11:58:37.079,-131.44419603170226,False
1699091917.099001,2023-11-04 11:58:37.099,-142.90969408374704,False
1699091917.119001,2023-11-04 11:58:37.119,-119.89305347961,False
1699091917.139001,2023-11-04 11:58:37.139,-133.8805769949298,False
1699091917.159001,2023-11-04 11:58:37.159,-126.43240364929176,False
1699091917.179001,2023-11-04 11:58:37.179,-142.49556574578534,False
1699091917.199001,2023-11-04 11:58:37.199,-129.55936611669134,False
1699091917.219001,2023-11-04 11:58:37.219,-137.49366926852773,False
1699091917.239001,2023-11-04 11:58:37.239,-123.13847401597683,False
1699091917.259001,2023-11-04 11:58:37.259,-133.34115852925365,False
1699091917.279001,2023-11-04 11:58:37.279,-132.28861629810672,False
1699091917.299001,2023-11-04 11:58:37.299,-146.62946593226818,False
1699091917.319001,2023-11-04 11:58:37.319,-131.7494634301091,False
1699091917.3390012,2023-11-04 11:58:37.339,-142.60547378568654,False
1699091917.3590012,2023-11-04 11:58:37.359,-126.65825842357955,False
1699091917.3790011,2023-11-04 11:58:37.379,-138.78228547474686,False
1699091917.3990011,2023-11-04 11:58:37.399,-126.07227775163055,False
1699091917.419001,2023-11-04 11:58:37.419,-142.4654060544975,False
1699091917.439001,2023-11-04 11:58:37.439,-128.08857998118623,False
1699091917.459001,2023-11-04 11:58:37.459,-130.41422363622857,False
1699091917.479001,2023-11-04 11:58:37.479,-118.84999972757903,False
1699091917.4990013,2023-11-04 11:58:37.499,-133.99118486533635,False
1699091917.5190012,2023-11-04 11:58:37.519,-118.88745467427923,False
1699091917.5390012,2023-11-04 11:58:37.539,-128.41467569004584,False
1699091917.5590012,2023-11-04 11:58:37.559,-117.23808122259003,False
1699091917.5790012,2023-11-04 11:58:37.579,-128.69794968305084,False
